# generation power_min power_avg power_max util_min util_avg util_max
15200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
16900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
17900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
18900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
19900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
20900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
21900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
22900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
23900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
